no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,month,day_of_month,day_of_year,week_of_month,week_of_year,day_of_week,year,is_wknd,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,lead_time_transf,type_of_meal_plan_Not Selected,type_of_meal_plan_other,room_type_reserved_Room_Type 4,room_type_reserved_other,market_segment_type_Online,market_segment_type_other,avg_price_per_room_mm,status
3,0,1,3,0,0,0,0,2,10,10,283,2,41,3,2018,0,4,0,0,0,0,0,0,-0.032860382011120716,0,0,1,0,1,0,0.790008973975471,0
2,0,1,1,0,0,0,0,1,5,2,122,1,18,3,2018,0,2,0,0,0,0,0,0,1.22854053438768,0,0,0,0,0,0,0.48369727789410705,0
2,0,2,1,0,0,0,0,2,12,5,339,1,49,2,2017,0,4,0,0,0,0,0,0,0.17380918295558018,1,0,0,0,1,0,0.45617708644929705,0
2,0,1,2,1,0,0,0,0,7,8,189,2,27,7,2018,1,3,0,0,0,0,0,0,-1.46168706701608,0,0,0,0,1,0,0.8426562967394555,0
2,0,1,3,0,0,0,0,1,10,3,276,1,40,3,2018,0,4,0,0,0,0,0,0,0.9293221146717,0,0,0,0,1,0,0.5961711037989829,0
2,0,1,3,0,0,0,0,0,8,11,223,2,32,6,2018,1,3,0,0,0,0,0,0,1.43612299902001,1,0,0,0,1,0,0.3685312593478911,1
2,0,1,2,0,0,0,0,1,10,23,296,4,43,1,2017,0,4,0,0,0,0,0,0,-0.28181550937806576,0,0,0,0,1,0,0.33341310200418783,0
2,0,2,1,0,0,0,0,1,5,28,148,4,22,1,2018,0,2,0,0,0,0,0,0,1.0324200579547071,0,0,1,0,1,0,0.6123242596470235,1
2,0,2,2,0,0,0,0,0,10,22,295,4,43,1,2018,0,4,0,0,0,0,0,0,1.5376486250109873,0,0,0,0,1,0,0.41938378701764883,1
1,0,0,1,0,0,0,0,0,3,31,90,5,13,6,2018,1,1,0,1,0,1,0,0,-1.1431884582559426,0,0,0,0,0,1,0.4537840263236614,1
2,0,2,0,0,0,0,0,0,10,4,277,1,40,3,2017,0,4,0,0,0,0,0,0,0.0893033890257622,0,0,0,0,0,0,0.4298534250673048,0
1,0,0,1,0,0,0,0,2,9,22,265,4,38,5,2017,1,3,0,0,0,0,0,0,0.21410368810438593,0,0,0,0,1,0,0.2574334430152558,0
2,0,0,1,0,0,0,0,1,12,27,361,4,52,4,2018,0,4,0,0,0,0,0,0,-0.24280505582449466,0,0,0,0,0,0,0.2743045169009871,0
3,0,1,1,0,0,0,0,2,7,23,204,4,30,1,2018,0,3,0,0,0,0,0,0,0.14624593429837035,0,0,1,0,1,0,0.7092431947352675,0
1,0,1,2,0,0,0,0,0,5,2,122,1,18,3,2018,0,2,0,0,0,0,0,0,-1.6566898309690214,0,0,0,0,0,0,0.4400239306012564,0
2,0,2,3,0,0,0,0,0,5,20,140,3,20,7,2018,1,2,0,0,0,0,0,0,1.43612299902001,0,0,0,0,0,0,0.352078970984146,1
2,0,2,5,0,0,0,0,0,8,14,226,2,33,1,2017,0,3,0,0,0,0,0,0,-1.5506363990851626,0,0,0,0,1,0,0.5204307508226144,0
2,0,0,2,0,0,0,0,0,8,14,226,2,33,1,2017,0,3,0,0,0,0,0,0,-0.28181550937806576,0,1,0,0,0,0,0.5375411307209093,0
2,0,2,1,0,0,0,0,1,6,4,155,1,23,1,2018,0,2,0,0,0,0,0,0,1.0324200579547071,0,0,0,0,1,0,0.5207897098414597,1
1,0,0,1,0,0,0,0,0,10,30,303,5,44,1,2017,0,4,0,0,0,0,0,0,-0.8492925336098945,0,0,0,0,0,0,0.4537840263236614,0
2,0,0,2,1,0,0,0,1,8,3,215,1,31,5,2018,1,3,0,0,0,0,0,0,-0.6036087123507768,0,0,0,0,1,0,0.8426562967394555,0
2,0,0,5,0,0,0,0,1,11,3,307,1,44,5,2017,1,4,0,0,0,0,0,0,-0.8492925336098945,0,0,0,0,1,0,0.4295542925516003,0
2,0,2,5,0,0,0,0,1,10,4,277,1,40,4,2018,0,4,0,0,0,0,0,0,1.5892929120895172,0,0,1,0,1,0,0.678731678133413,1
2,0,0,3,1,0,0,0,1,5,10,130,2,19,4,2018,0,2,0,0,0,0,0,0,0.18737723416663243,0,0,0,0,1,0,0.6984744241699072,0
2,0,0,3,0,0,0,0,0,9,8,251,2,36,6,2018,1,3,0,0,0,0,0,0,1.107662914478282,0,0,0,0,0,0,0.5435237810349984,1
2,0,0,1,0,0,0,0,1,11,5,309,1,45,1,2018,0,4,0,0,0,0,0,0,-1.0938593953815183,0,0,0,0,1,0,0.6631767873167812,1
1,0,0,2,0,0,0,0,0,4,19,109,3,16,4,2018,0,2,0,0,0,0,0,0,0.5938303814077687,0,0,0,0,1,0,0.5734370326054441,1
3,0,1,2,0,0,0,0,2,7,18,199,3,29,3,2018,0,3,0,0,0,0,0,0,0.4336441821178606,0,0,0,0,0,0,0.4651510619204308,0
2,0,2,2,0,0,0,0,0,7,24,205,4,30,2,2018,0,3,0,0,0,0,0,0,1.1296094883125278,0,1,1,0,0,0,0.5312593478911157,1
2,0,0,1,0,0,0,0,0,9,2,245,1,35,7,2018,1,3,0,0,0,0,0,0,-1.6566898309690214,1,0,0,0,1,0,0.4020341011067902,0
1,0,0,1,0,0,0,0,0,12,9,343,2,49,7,2018,1,4,0,0,0,0,0,0,-0.8492925336098945,0,0,0,0,0,1,0.2743045169009871,0
2,0,0,1,0,0,0,0,1,8,27,239,4,35,1,2018,0,3,0,0,0,0,0,0,-1.46168706701608,1,0,0,0,1,0,0.7170206401435835,1
2,0,0,5,0,0,0,0,1,9,6,249,1,36,4,2018,0,3,0,0,0,0,0,0,1.543455633803681,0,0,0,0,0,0,0.7050553395154052,1
2,0,0,4,0,0,0,0,2,6,8,159,2,23,5,2018,1,2,0,0,0,0,0,0,1.2959824482391158,0,0,1,0,1,0,0.4277594974573737,1
2,0,0,3,0,0,0,0,0,5,31,151,5,22,4,2018,0,2,0,1,0,0,0,0,1.4299775831198673,1,0,0,1,1,0,0.29638049655997606,1
2,0,2,1,0,0,0,0,1,10,29,302,5,44,1,2018,0,4,0,0,0,0,0,0,-0.016919025529960222,0,0,0,1,0,0,0.4537840263236614,0
2,1,0,3,1,0,0,0,1,6,30,181,5,26,6,2018,1,2,0,1,0,1,0,0,0.5318335994087854,0,0,1,0,0,0,0.506311696081364,0
2,0,0,2,0,0,0,0,1,6,15,166,3,24,5,2018,1,2,0,0,0,0,0,0,1.6886516700477643,0,1,0,0,1,0,0.5734370326054441,1
2,0,0,2,0,0,0,0,0,10,16,289,3,42,1,2017,0,4,0,0,0,0,0,0,0.5836747532510416,0,1,0,0,0,0,0.4926712533652408,1
3,0,2,1,0,0,0,0,1,4,3,93,1,14,2,2018,0,2,0,0,0,0,0,0,0.0448729401356539,0,0,0,0,0,0,0.5136105294645528,0
1,0,1,0,1,1,0,1,0,9,19,262,3,38,3,2018,0,3,0,0,0,0,0,0,-1.6566898309690214,0,0,0,0,0,1,0.2862698175291654,0
2,0,2,5,0,0,0,0,1,4,14,104,2,15,6,2018,1,2,0,0,0,0,0,0,0.14624593429837035,0,0,1,0,1,0,0.5494466048459467,1
2,0,0,4,0,0,0,0,0,12,30,364,5,52,6,2017,1,4,0,0,0,0,0,0,-0.09879618445483326,0,0,0,0,0,0,0.31020041878552196,0
2,0,0,2,0,0,0,0,0,7,21,202,3,29,6,2018,1,3,0,0,0,0,0,0,1.8736840419339567,0,1,0,0,0,0,0.5734370326054441,1
2,0,1,1,0,0,0,0,1,8,6,218,1,32,1,2018,0,3,0,0,0,0,0,0,0.25321778840332065,0,0,1,0,1,0,0.671552497756506,1
2,0,1,3,0,0,0,0,1,6,2,153,1,22,6,2018,1,2,0,0,0,0,0,0,-0.9229839521930266,1,0,0,0,1,0,0.44516900987137303,0
1,0,1,2,0,0,0,0,0,10,10,283,2,41,3,2018,0,4,0,0,0,0,0,0,1.22854053438768,0,0,0,0,0,0,0.6033502841758899,1
2,1,2,2,0,0,0,0,0,7,30,211,5,31,1,2018,0,3,0,0,0,0,0,0,0.01435964032245719,0,0,1,0,1,0,0.7953933592581512,1
2,0,1,2,0,0,0,0,1,5,9,129,2,19,3,2018,0,2,0,0,0,0,0,0,0.7385591347431675,0,0,0,0,1,0,0.5154053245587794,0
2,0,1,2,0,0,0,0,0,3,25,84,4,12,7,2018,1,1,0,0,0,0,0,0,1.0928757881198847,0,1,0,0,0,0,0.6631767873167812,1
2,0,0,1,0,0,0,0,0,11,5,309,1,45,1,2018,0,4,0,0,0,0,0,0,-1.2531952897202767,0,0,0,0,0,0,0.6631767873167812,0
2,0,0,1,0,0,0,0,1,9,20,263,3,38,4,2018,0,3,0,0,0,0,0,0,-0.814687796711879,0,0,0,0,1,0,0.7170206401435835,0
2,0,2,3,0,0,0,0,1,8,19,231,3,33,7,2018,1,3,0,0,0,0,0,0,-0.3430212391179341,0,0,0,0,1,0,0.6984744241699072,0
2,0,1,2,0,0,0,0,0,10,9,282,2,41,1,2017,0,4,0,0,0,0,0,0,0.16009996351369138,0,0,0,0,0,0,0.33413102004187856,0
2,0,1,2,0,0,0,0,0,10,16,289,3,42,1,2017,0,4,0,0,0,0,0,0,-0.3642076811062532,0,0,0,0,1,0,0.5369428656895004,0
2,0,2,5,0,0,0,0,1,9,1,244,1,35,6,2018,1,3,1,0,0,0,0,0,0.0893033890257622,1,0,0,0,1,0,0.4577325755309602,0
3,0,1,2,0,0,0,0,1,9,9,252,2,36,7,2018,1,3,0,0,0,0,0,0,0.18737723416663243,0,0,1,0,1,0,0.8923122943463955,0
2,0,1,1,0,0,0,0,0,6,18,169,3,25,1,2018,0,2,0,0,0,0,0,0,-0.18669161192516484,0,0,1,0,0,0,0.4615614717319772,0
2,0,2,1,0,0,0,0,1,5,22,142,4,21,2,2018,0,2,0,0,0,0,0,0,0.5527874866365081,0,0,0,0,1,0,0.4699970086748429,0
1,0,0,1,0,0,0,0,0,10,15,288,3,41,7,2017,1,4,0,0,0,0,0,0,-0.9624117371999295,0,0,0,0,0,0,0.48369727789410705,0
2,0,0,1,0,0,0,0,0,4,6,96,1,14,5,2018,1,2,0,0,0,0,0,0,-0.0011810930312185599,0,1,0,0,0,0,0.5076278791504636,0
1,0,0,1,0,0,0,0,1,9,15,258,3,37,6,2018,1,3,0,0,0,0,0,0,-0.814687796711879,1,0,0,0,1,0,0.7170206401435835,1
2,0,2,1,0,0,0,0,1,10,30,303,5,44,2,2018,0,4,0,0,0,0,0,0,1.622974400452564,0,0,0,0,1,0,0.29374813042177683,0
2,0,2,1,0,0,0,0,1,8,13,225,2,33,1,2018,0,3,0,0,0,0,0,0,0.8962685498435093,0,0,0,0,1,0,0.4119653006281783,0
1,0,0,4,0,0,0,0,2,6,1,152,1,22,5,2018,1,2,1,0,0,0,0,0,0.47810469314085197,0,0,1,0,1,0,0.678731678133413,0
2,0,2,1,0,0,0,0,0,11,20,324,3,47,2,2018,0,4,0,0,0,0,0,0,0.37605206776477507,0,0,0,0,1,0,0.44540831588393653,1
2,0,1,5,0,0,0,0,0,12,27,361,4,52,4,2018,0,4,0,0,0,0,0,0,-0.24280505582449466,0,0,0,0,0,0,0.30421776847143284,0
2,0,0,2,0,0,0,0,0,6,10,161,2,23,7,2018,1,2,0,0,0,0,0,0,0.4223108037762752,1,0,0,0,0,0,0.31767873167813343,0
2,0,0,1,0,0,0,0,0,10,13,286,2,41,5,2017,1,4,0,0,0,0,0,0,-0.20509283809716733,0,0,0,0,0,0,0.39395752318276994,0
2,0,2,1,1,0,0,0,0,5,8,128,2,19,2,2018,0,2,0,0,0,0,0,0,0.4890096334269794,0,1,0,0,1,0,0.9030810649117558,0
2,0,2,1,0,0,0,0,0,1,2,2,1,1,2,2018,0,1,0,0,0,0,0,0,1.0091840482465178,0,1,0,0,0,0,0.4896799282081962,0
2,0,0,2,0,0,0,0,0,10,16,289,3,42,1,2017,0,4,0,0,0,0,0,0,0.5836747532510416,0,1,0,0,0,0,0.5375411307209093,0
2,2,2,1,1,0,0,0,1,8,7,219,1,32,2,2018,0,3,0,0,0,0,0,0,1.466552196449639,0,0,0,1,1,0,0.9461561471731976,1
2,0,0,2,0,0,0,0,0,1,1,1,1,1,1,2018,0,1,1,0,1,0,1,0,-0.15074172857426252,0,0,0,0,1,0,0.31020041878552196,0
2,0,0,2,0,0,0,0,2,9,29,272,5,39,6,2018,1,3,0,0,0,0,0,0,-0.7813917674178052,0,0,1,0,1,0,0.9264134011367033,0
1,0,0,1,0,0,0,0,0,9,20,263,3,38,4,2018,0,3,0,0,0,0,0,0,-1.985608868000325,0,0,0,0,0,1,0.4537840263236614,0
3,0,1,3,0,0,0,0,3,4,25,115,4,17,3,2018,0,2,0,0,0,0,0,0,0.34033298550901775,0,0,1,0,1,0,0.612623392162728,0
1,0,1,0,0,0,0,0,1,9,25,268,4,39,2,2018,0,3,0,0,0,0,0,0,-0.3430212391179341,1,0,0,0,1,0,0.31660185462159735,0
1,0,0,2,0,0,0,0,1,3,15,74,3,11,4,2018,0,1,0,0,0,0,0,0,-1.2531952897202767,0,0,0,0,1,0,0.21148668860305114,0
2,0,2,3,0,0,0,0,3,9,24,267,4,39,1,2018,0,3,0,0,0,0,0,0,0.6436080330474707,0,0,0,1,1,0,0.6475022434938676,0
1,0,2,3,0,0,0,0,0,9,4,247,1,36,1,2017,0,3,0,0,0,0,0,0,0.07466505510616514,0,0,0,0,1,0,0.3685312593478911,0
2,0,0,3,0,0,0,0,1,1,14,14,2,2,7,2018,1,1,0,0,0,0,0,0,-0.20509283809716733,0,0,0,1,1,0,0.404427161232426,0
3,0,0,2,0,0,0,0,2,7,12,193,2,28,4,2018,0,3,0,0,0,0,0,0,0.4890096334269794,0,0,1,0,1,0,0.7092431947352675,0
2,0,0,2,0,0,0,0,1,7,14,195,2,28,6,2018,1,3,0,0,0,0,0,0,0.6727116092950133,0,0,0,0,1,0,0.5154053245587794,0
1,0,2,1,0,0,0,0,0,5,8,128,2,19,2,2018,0,2,0,0,0,0,0,0,-0.4078740168023441,0,0,0,0,1,0,0.6123242596470235,1
2,0,0,2,0,0,0,0,0,6,2,153,1,22,6,2018,1,2,0,0,0,0,0,0,-0.47695498147585763,0,0,0,0,0,0,0.7230032904576726,0
2,0,0,2,0,0,0,0,0,8,14,226,2,33,1,2017,0,3,0,0,0,0,0,0,-0.28181550937806576,0,1,0,0,0,0,0.5375411307209093,0
2,0,2,1,0,0,0,0,0,10,10,283,2,41,2,2017,0,4,0,0,0,0,0,0,1.8239512067722548,0,0,0,0,0,0,0.3441220460664074,0
1,0,1,1,0,1,0,1,0,9,19,262,3,38,3,2018,0,3,0,0,0,0,0,0,-1.1431884582559426,0,0,0,0,0,1,0.5076278791504636,0
1,0,0,2,0,0,0,0,0,10,2,275,1,40,1,2017,0,4,0,0,0,0,0,0,1.1150093317488396,0,0,0,0,0,0,0.48369727789410705,0
2,0,0,1,0,0,0,0,1,8,11,223,2,32,6,2018,1,3,0,0,0,0,0,0,1.341740202628439,0,0,1,0,1,0,0.4053245587795394,1
2,0,1,2,0,0,0,0,0,4,4,94,1,14,3,2018,0,2,0,0,0,0,0,0,0.5734498437695015,0,0,0,0,0,0,0.3640442716123243,1
2,1,0,2,0,0,0,0,3,12,8,342,2,49,6,2018,1,4,0,0,0,0,0,0,0.8367644897724941,0,0,1,0,1,0,0.49075680526473225,0
1,0,0,1,0,0,0,0,0,11,23,327,4,47,5,2018,1,4,0,0,0,0,0,0,-1.985608868000325,0,0,0,0,0,0,0.33413102004187856,0
2,0,1,3,0,0,0,0,1,9,3,246,1,35,7,2017,1,3,0,0,0,0,0,0,0.34033298550901775,1,0,0,0,1,0,0.2613221657194137,0
2,0,1,1,0,0,0,0,2,8,27,239,4,35,1,2018,0,3,0,0,0,0,0,0,0.34033298550901775,0,0,0,0,1,0,0.671552497756506,0
2,0,0,2,0,0,0,0,1,1,22,22,4,4,1,2018,0,1,0,0,0,0,0,0,-0.3018428446569174,0,0,0,0,1,0,0.3604546814238708,0
1,0,1,1,0,0,0,0,0,10,3,276,1,40,3,2018,0,4,0,0,0,0,0,0,0.5212441500357919,1,0,0,0,1,0,0.5315584804068202,1
3,0,0,1,0,0,0,0,0,8,17,229,3,33,5,2018,1,3,0,0,0,0,0,0,-0.3018428446569174,0,0,1,0,1,0,0.8923122943463955,0
2,0,0,1,0,0,0,0,0,7,26,207,4,30,4,2018,0,3,0,0,0,0,0,0,-1.2531952897202767,0,0,0,0,0,1,0.33413102004187856,0
2,0,2,2,0,0,0,0,0,8,26,238,4,34,7,2018,1,3,0,0,0,0,0,0,0.9935137594962448,0,0,0,0,1,0,0.4615614717319772,1
2,0,1,0,0,0,0,0,1,7,4,185,1,27,3,2018,0,3,0,0,0,0,0,0,0.9211207587548557,0,0,0,0,1,0,0.4615614717319772,0
2,0,0,4,0,0,0,0,1,10,5,278,1,40,5,2018,1,4,0,0,0,0,0,0,1.51424315560654,1,0,0,0,1,0,0.4397247980855519,1
2,0,0,2,0,0,0,0,0,9,30,273,5,39,6,2017,1,3,0,1,0,1,0,0,-0.47695498147585763,0,1,0,0,0,0,0.6093329344899789,0
2,0,0,1,0,0,0,0,1,6,23,174,4,25,6,2018,1,2,0,0,0,0,0,0,0.542347611939063,1,0,0,0,1,0,0.39694884833981453,1
2,0,1,2,0,0,0,0,0,9,30,273,5,39,7,2018,1,3,0,1,0,1,0,0,1.747005675669755,0,0,0,0,0,0,0.4537840263236614,1
2,0,0,3,0,0,0,0,1,7,12,193,2,28,4,2018,0,3,0,0,0,0,0,0,0.9045944859503874,0,0,0,0,1,0,0.5154053245587794,0
2,0,1,4,0,0,0,0,2,10,17,290,3,42,3,2018,0,4,0,0,0,0,0,0,-1.46168706701608,0,0,0,0,1,0,0.8426562967394555,0
2,0,0,4,0,0,0,0,1,12,7,341,1,49,5,2018,1,4,0,0,0,0,0,0,-0.26214118630559197,0,0,1,0,1,0,0.4651510619204308,0
1,0,0,1,0,0,0,0,0,11,10,314,2,45,6,2018,1,4,0,0,0,0,0,0,-1.6566898309690214,0,0,1,0,0,1,0.4537840263236614,0
2,0,0,4,0,0,0,0,1,7,26,207,4,30,4,2018,0,3,0,0,0,0,0,0,-0.47695498147585763,0,0,0,0,1,0,0.6984744241699072,1
3,0,1,2,1,0,0,0,0,8,12,224,2,32,7,2018,1,3,0,0,0,0,0,0,0.8017507541991856,0,0,1,0,1,0,0.8169309003888721,0
1,0,2,2,0,0,0,0,1,9,4,247,1,36,2,2018,0,3,0,0,0,0,0,0,0.10377624327742757,0,0,0,0,1,0,0.47502243493867785,1
3,0,1,2,0,0,0,0,1,9,14,257,2,37,4,2017,0,3,0,0,0,0,0,0,-0.9624117371999295,1,0,0,0,1,0,0.48890218366736465,0
2,0,0,1,0,0,0,0,0,4,6,96,1,14,5,2018,1,2,0,0,0,0,0,0,0.6139383056034631,0,0,0,0,0,0,0.33413102004187856,1
3,0,2,2,0,0,0,0,2,12,23,357,4,51,7,2018,1,4,0,0,0,0,0,0,0.37605206776477507,0,0,1,0,1,0,0.5973676338618007,0
1,0,1,0,0,1,0,2,0,12,19,353,3,51,3,2018,0,4,0,0,0,0,0,0,-1.6566898309690214,1,0,0,0,1,0,0.21806760394854924,0
2,0,1,1,0,0,0,0,1,6,27,178,4,26,3,2018,0,2,0,0,0,0,0,0,1.158447801584164,0,0,1,0,1,0,0.5154053245587794,1
2,0,2,0,0,0,0,0,0,10,30,303,5,44,2,2018,0,4,0,0,0,0,0,0,1.0091840482465178,1,0,0,0,1,0,0.36464253664373314,1
2,0,0,2,0,0,0,0,1,9,15,258,3,37,6,2018,1,3,0,0,0,0,0,0,-1.6566898309690214,0,0,0,0,1,0,0.8965001495662577,0
1,0,0,2,0,0,0,0,0,10,26,299,4,43,5,2018,1,4,0,0,0,0,0,0,-0.24280505582449466,0,0,0,0,1,0,0.6242895602752018,0
2,0,1,2,0,0,0,0,0,4,25,115,4,17,3,2018,0,2,0,0,0,0,0,0,0.5318335994087854,1,0,0,0,1,0,0.39694884833981453,0
2,0,1,2,0,0,0,0,1,10,28,301,4,43,7,2018,1,4,0,0,0,0,0,0,-0.3642076811062532,0,0,0,0,1,0,0.6571941370026921,0
2,0,1,2,0,0,0,0,2,9,12,255,2,37,3,2018,0,3,0,0,0,0,0,0,1.107662914478282,0,0,0,0,1,0,0.644630571343105,1
2,1,2,3,0,0,0,0,2,6,12,163,2,24,2,2018,0,2,0,0,0,0,0,0,-0.4534162547522294,0,0,0,0,1,0,0.644630571343105,0
1,0,0,3,0,0,0,0,1,5,31,151,5,22,4,2018,0,2,0,1,0,0,0,0,0.17380918295558018,0,0,1,0,1,0,0.7253963505833083,0
2,0,0,2,0,0,0,0,1,6,28,179,4,26,4,2018,0,2,0,0,0,0,0,0,-0.7492897975185061,0,0,1,0,1,0,0.8187256954830989,1
2,2,0,1,0,0,0,0,1,10,28,301,4,43,7,2018,1,4,0,0,0,0,0,0,1.341740202628439,0,0,0,1,1,0,0.8923122943463955,1
2,0,1,4,0,0,0,0,0,1,25,25,4,4,4,2018,0,1,0,0,0,0,0,0,0.6139383056034631,0,0,1,0,0,0,0.38797487286868076,0
2,0,0,3,0,0,0,0,1,8,9,221,2,32,4,2018,0,3,0,0,0,0,0,0,1.361005765863215,0,0,0,0,1,0,0.31767873167813343,1
1,0,0,2,0,0,0,0,0,10,15,288,3,41,7,2017,1,4,0,0,0,0,0,0,-0.9624117371999295,0,0,0,0,0,0,0.48369727789410705,0
2,0,2,2,0,0,0,0,1,9,11,254,2,37,1,2017,0,3,0,0,0,0,0,0,-0.9229839521930266,1,0,0,0,1,0,0.5300628178282979,0
2,0,1,2,0,0,0,0,1,9,18,261,3,38,1,2017,0,3,0,0,0,0,0,0,0.4223108037762752,0,0,0,0,1,0,0.41938378701764883,0
2,0,2,2,0,0,0,0,1,3,11,70,2,10,7,2018,1,1,0,0,0,0,0,0,-0.3018428446569174,0,0,0,0,1,0,0.37541130720909366,1
2,0,0,1,0,0,0,0,1,7,2,183,1,27,1,2018,0,3,0,0,0,0,0,0,-0.6310097636957879,0,0,0,0,1,0,0.592282381094825,0
2,0,0,1,0,0,0,0,1,8,15,227,3,33,2,2017,0,3,0,0,0,0,0,0,-1.5506363990851626,0,0,0,0,1,0,0.6272808854322464,0
2,0,1,4,0,0,0,0,1,8,3,215,1,31,5,2018,1,3,0,0,0,0,0,0,1.2490402189438823,0,0,0,0,1,0,0.5554890816631767,1
1,0,0,3,0,0,0,0,1,6,14,165,2,24,4,2018,0,2,0,0,0,0,0,0,-0.5257167383027416,0,0,1,0,1,0,0.5340711935387376,0
1,0,0,1,0,0,0,0,0,9,7,250,1,36,5,2018,1,3,0,0,0,0,0,0,0.38775923743333485,0,0,0,0,0,1,0.2743045169009871,0
2,0,0,4,0,0,0,0,1,11,11,315,2,45,6,2017,1,4,0,0,0,0,0,0,-0.7813917674178052,0,0,1,0,1,0,0.4804068202213581,0
2,0,1,2,0,0,0,0,2,9,23,266,4,38,7,2018,1,3,0,0,0,0,0,0,1.788405822607394,0,0,0,0,1,0,0.5925815136105294,1
2,0,1,3,0,0,0,0,1,3,14,73,2,11,3,2018,0,1,0,0,0,0,0,0,-0.38581815924377755,1,0,0,0,1,0,0.3107986838169309,0
2,0,1,2,0,0,0,0,1,5,13,133,2,19,7,2018,1,2,0,0,0,0,0,0,0.7928762038744863,0,0,0,0,1,0,0.5860005982650313,0
2,0,0,3,0,0,0,0,1,12,8,342,2,49,6,2018,1,4,0,0,0,0,0,0,0.3523410130874057,1,0,0,0,1,0,0.35925815136105294,0
2,0,0,2,0,0,0,0,1,4,12,102,2,15,4,2018,0,2,0,0,0,0,0,0,0.49983356039519883,0,0,0,0,1,0,0.4615614717319772,0
2,0,0,2,0,0,0,0,0,4,15,105,3,15,7,2018,1,2,0,0,0,0,0,0,-1.6566898309690214,0,0,1,0,1,0,0.7588991923422075,1
2,0,0,2,1,0,0,0,1,12,30,364,5,52,6,2017,1,4,0,0,0,0,0,0,0.11808811296546529,0,0,1,0,1,0,0.6811247382590486,0
3,0,1,3,0,0,0,0,2,4,11,101,2,15,3,2018,0,2,0,0,0,0,0,0,-0.5769575461117442,0,0,1,0,1,0,0.7499252168710738,0
1,0,2,1,0,0,0,0,0,2,28,59,4,9,3,2018,0,1,0,1,0,0,0,0,-1.985608868000325,0,0,0,0,0,0,0.24439126533054145,1
2,0,1,3,0,0,0,0,0,4,18,108,3,16,3,2018,0,2,0,0,0,0,0,0,0.6139383056034631,0,0,0,0,1,0,0.37870176488184265,0
2,0,0,3,0,0,0,0,1,3,2,61,1,9,5,2018,1,1,0,0,0,0,0,0,-0.1158600232696961,1,0,0,0,1,0,0.3227639844451091,1
2,0,1,2,0,0,0,0,0,3,25,84,4,12,7,2018,1,1,0,0,0,0,0,0,1.0928757881198847,0,1,0,0,0,0,0.6631767873167812,1
2,0,1,4,0,0,0,0,1,5,4,124,1,18,5,2018,1,2,0,0,0,0,0,0,0.7106798152491427,0,0,0,0,1,0,0.4804068202213581,0
2,0,0,1,0,0,0,0,2,9,9,252,2,36,7,2018,1,3,0,0,0,0,0,0,-0.20509283809716733,0,0,0,0,1,0,0.6984744241699072,0
2,0,1,2,0,0,0,0,1,12,11,345,2,50,1,2017,0,4,0,0,0,0,0,0,-0.4534162547522294,0,0,0,0,0,0,0.2623392162728089,0
2,0,1,2,0,0,0,0,1,3,7,66,1,10,3,2018,0,1,0,0,0,0,0,0,-0.26214118630559197,1,0,0,0,1,0,0.3227639844451091,0
2,0,1,3,0,0,0,0,0,10,19,292,3,42,4,2017,0,4,0,0,0,0,0,0,-1.5506363990851626,0,0,1,0,0,0,0.31767873167813343,0
2,0,1,2,0,0,0,0,1,8,15,227,3,33,3,2018,0,3,0,0,0,0,0,0,-0.5010442920420968,1,0,0,0,1,0,0.6615614717319771,1
2,0,0,1,0,0,0,0,0,6,8,159,2,23,5,2018,1,2,0,0,0,0,0,0,0.01435964032245719,0,0,0,0,0,0,0.6033502841758899,0
2,0,0,3,0,0,0,0,0,6,9,160,2,23,6,2018,1,2,0,0,0,0,0,0,0.69181222134396,1,0,0,0,1,0,0.5800179479509422,0
2,0,2,3,0,0,0,0,0,6,12,163,2,24,2,2018,0,2,0,0,0,0,0,0,0.9128783840598458,0,0,1,0,0,0,0.4295542925516003,0
1,0,0,2,0,0,0,0,1,10,19,292,3,42,5,2018,1,4,0,0,0,0,0,0,-1.315514612291896,1,0,0,0,1,0,0.5027221058929106,0
1,0,0,2,0,0,0,0,0,9,30,273,5,39,7,2018,1,3,0,1,0,1,0,0,-1.5506363990851626,0,0,0,0,0,1,0.5435237810349984,1
2,0,1,2,0,0,0,0,1,11,4,308,1,44,7,2018,1,4,0,0,0,0,0,0,0.6337823531304649,0,1,0,0,1,0,0.6284774154950642,1
2,0,2,2,0,0,0,0,2,10,14,287,2,41,7,2018,1,4,0,0,0,0,0,0,-0.18669161192516484,0,0,1,0,1,0,0.7725396350583308,0
2,1,4,6,0,0,0,0,1,12,10,344,2,50,1,2018,0,4,0,0,0,0,0,0,-0.09879618445483326,0,0,0,0,1,0,0.5160035895901884,1
2,0,1,3,0,0,0,0,0,7,20,201,3,29,4,2017,0,3,0,0,0,0,0,0,0.10377624327742757,0,1,0,0,0,0,0.5076278791504636,0
2,0,1,3,0,0,0,0,1,5,19,139,3,20,6,2018,1,2,0,0,0,0,0,0,-0.5769575461117442,0,0,1,0,1,0,0.7888124439126531,0
2,0,1,2,0,0,0,0,1,1,29,29,5,5,1,2018,0,1,0,0,0,0,0,0,-0.3642076811062532,0,0,1,0,1,0,0.37870176488184265,0
